"species","Year","trend","lower95CI","upper95CI","detprob","detproblower95CI","detprobupper95CI"
"MTOR",2011,248,158,507,0.176,0.085,0.284
"MTOR",2012,217,133,455,0.175,0.081,0.292
"MTOR",2013,235,142,416,0.189,0.105,0.318
"MTOR",2014,178,124,338,0.29,0.152,0.425
"MTOR",2015,404,282,657,0.2,0.122,0.294
"MTOR",2016,460,300,844,0.182,0.1,0.286
"MTOR",2017,452,299,828.025,0.211,0.114,0.324
"MTOR",2018,646,413,1209,0.156,0.083,0.247
"MTOR",2019,399,214,720,0.145,0.079,0.274
"MTOR",2020,572,219,1570,0.427,0.019,0.967
"MTOR",2021,583,328,1042.025,0.134,0.075,0.242
"MTOR",2022,669,368,1358.025,0.115,0.057,0.211
"MTOR",2023,779,438,1576.025,0.111,0.054,0.201
"FOTH",2011,729,415,1542,0.192,0.09,0.339
"FOTH",2012,793,475,1512,0.139,0.072,0.233
"FOTH",2013,809,483,1385.025,0.19,0.111,0.32
"FOTH",2014,918,560,1780.025,0.13,0.067,0.215
"FOTH",2015,987,675,1619,0.165,0.1,0.243
"FOTH",2016,1058,752,1720,0.199,0.121,0.281
"FOTH",2017,936,701,1417.025,0.259,0.17,0.348
"FOTH",2018,1236,870,2319.025,0.199,0.105,0.284
"FOTH",2019,898,530,1685,0.096,0.051,0.165
"FOTH",2020,912,442,2013,0.45,0.021,0.969
"FOTH",2021,889,637,1433,0.209,0.129,0.293
"FOTH",2022,893,557,1714,0.139,0.072,0.226
"FOTH",2023,708,517,1133,0.327,0.202,0.449
"BRQD",2011,369,133,1140.025,0.043,0.013,0.125
"BRQD",2012,364,169,835,0.163,0.071,0.35
"BRQD",2013,397,172,946.025,0.127,0.052,0.298
"BRQD",2014,350,105,844.025,0.058,0.022,0.196
"BRQD",2015,562,289,1315,0.211,0.091,0.414
"BRQD",2016,416,243,857,0.273,0.131,0.472
"BRQD",2017,384,181,879,0.149,0.064,0.319
"BRQD",2018,260,134,779,0.157,0.051,0.31
"BRQD",2019,288,76,780,0.061,0.022,0.245
"BRQD",2020,454,48,2776.05,0.418,0.019,0.962
"BRQD",2021,473,248,1007,0.171,0.08,0.329
"BRQD",2022,356,147,863,0.134,0.054,0.328
"BRQD",2023,579,284,1326,0.16,0.069,0.332
"TREM",2011,220,151,430,0.179,0.092,0.266
"TREM",2012,195,132,319,0.184,0.109,0.28
"TREM",2013,212,140,346,0.178,0.106,0.274
"TREM",2014,207,119,335,0.128,0.076,0.229
"TREM",2015,245,165,408,0.139,0.081,0.213
"TREM",2016,261,185,434,0.185,0.109,0.268
"TREM",2017,238,159,376,0.227,0.14,0.343
"TREM",2018,286,211,434,0.24,0.155,0.332
"TREM",2019,298,184,507,0.117,0.066,0.195
"TREM",2020,338,188,653,0.512,0.039,0.966
"TREM",2021,390,286,646.025,0.224,0.134,0.31
"TREM",2022,380,246,674,0.142,0.078,0.223
"TREM",2023,439,319,742,0.227,0.134,0.315
"ACHU",2011,410,257,976,0.177,0.072,0.281
"ACHU",2012,316,172,545,0.176,0.101,0.331
"ACHU",2013,326,202,683.025,0.141,0.067,0.227
"ACHU",2014,366,260,723,0.208,0.103,0.292
"ACHU",2015,493,321,1466,0.154,0.05,0.242
"ACHU",2016,347,249,572,0.272,0.162,0.382
"ACHU",2017,242,168,416,0.386,0.222,0.563
"ACHU",2018,376,233,635,0.187,0.112,0.307
"ACHU",2019,369,197,629,0.109,0.063,0.205
"ACHU",2020,437,169,1312.025,0.49,0.025,0.974
"ACHU",2021,520,299,1083,0.129,0.061,0.226
"ACHU",2022,589,310,1205,0.107,0.056,0.209
"ACHU",2023,492,354,907,0.182,0.098,0.247
"PTCA",2011,201,149,356,0.172,0.097,0.234
"PTCA",2012,225,166,380,0.194,0.112,0.27
"PTCA",2013,199,122,307,0.248,0.159,0.381
"PTCA",2014,234,175,375,0.255,0.156,0.337
"PTCA",2015,309,227,453,0.267,0.181,0.375
"PTCA",2016,294,225,390,0.261,0.196,0.349
"PTCA",2017,295,232,467,0.271,0.166,0.339
"PTCA",2018,360,269,599,0.206,0.125,0.285
"PTCA",2019,313,196.975,448,0.137,0.094,0.218
"PTCA",2020,385,211,782,0.512,0.027,0.976
"PTCA",2021,445,227,908.025,0.104,0.049,0.214
"PTCA",2022,424,299,727,0.13,0.074,0.181
"PTCA",2023,495,266,740,0.133,0.091,0.26
"PETH",2011,1610,1189,2373.025,0.259,0.175,0.348
"PETH",2012,1276,967,2117,0.311,0.186,0.407
"PETH",2013,995,789,1445,0.365,0.25,0.46
"PETH",2014,1970,1366,2723,0.166,0.12,0.241
"PETH",2015,2102,1246.975,3242,0.231,0.151,0.392
"PETH",2016,2151,1381,4802.025,0.234,0.105,0.365
"PETH",2017,1625,1196,2183,0.296,0.222,0.402
"PETH",2018,2335,1752,3815,0.215,0.132,0.287
"PETH",2019,780,625,1104,0.4,0.285,0.5
"PETH",2020,1421,507,4161.05,0.499,0.025,0.976
"PETH",2021,1361,988,1902.025,0.394,0.281,0.543
"PETH",2022,1461,1085,1856,0.32,0.255,0.435
"PETH",2023,1143,793,1866,0.41,0.251,0.595
"GTCA",2011,96,39,307,0.095,0.027,0.254
"GTCA",2012,57,36,151,0.265,0.095,0.446
"GTCA",2013,57,29,151,0.165,0.057,0.337
"GTCA",2014,92,58,371.025,0.203,0.048,0.338
"GTCA",2015,72,39,214,0.146,0.046,0.282
"GTCA",2016,78,49,186.025,0.186,0.076,0.311
"GTCA",2017,59,32,182,0.127,0.041,0.266
"GTCA",2018,25,5,81,0.054,0.01,0.276
"GTCA",2019,28,13,74,0.139,0.046,0.355
"GTCA",2020,27,4,113,0.549,0.044,0.969
"GTCA",2021,18,7,59,0.107,0.026,0.32
"GTCA",2022,18,7,56,0.133,0.033,0.349
"GTCA",2023,13,6,42,0.157,0.036,0.335
"SBTH",2011,488,329,1044,0.249,0.114,0.37
"SBTH",2012,725,433,1313,0.165,0.092,0.279
"SBTH",2013,769,463,1681,0.172,0.078,0.287
"SBTH",2014,524,318,1061,0.238,0.117,0.39
"SBTH",2015,682,434,1127.025,0.211,0.127,0.334
"SBTH",2016,926,659,1464,0.193,0.121,0.273
"SBTH",2017,907,586,1661.025,0.218,0.119,0.339
"SBTH",2018,1296,892.975,2378,0.17,0.093,0.247
"SBTH",2019,864,564.975,1439,0.128,0.076,0.194
"SBTH",2020,1052,444,2392.025,0.456,0.022,0.969
"SBTH",2021,1151,764,1753,0.179,0.118,0.272
"SBTH",2022,1129,686,1905.025,0.17,0.1,0.285
"SBTH",2023,1085,683,1812,0.202,0.121,0.324
"SNPI",2011,961,554,2171,0.117,0.051,0.206
"SNPI",2012,386,313,595,0.432,0.279,0.537
"SNPI",2013,563,386,1162,0.257,0.124,0.377
"SNPI",2014,696,390,1468.025,0.108,0.051,0.194
"SNPI",2015,1029,671,1984,0.173,0.09,0.268
"SNPI",2016,928,721,1425,0.362,0.235,0.466
"SNPI",2017,1176,820,1920,0.216,0.132,0.312
"SNPI",2018,1111,653,2208,0.088,0.044,0.152
"SNPI",2019,751,444,1495.025,0.154,0.077,0.265
"SNPI",2020,1153,395,3567.025,0.52,0.031,0.975
"SNPI",2021,1660,1105,3080,0.211,0.113,0.317
"SNPI",2022,1565,1000,2950,0.132,0.07,0.209
"SNPI",2023,920,700,1613,0.364,0.207,0.479
"CAEL",2011,124,80,299,0.206,0.087,0.325
"CAEL",2012,45,25,183,0.183,0.044,0.35
"CAEL",2013,24,14,84,0.245,0.072,0.449
"CAEL",2014,107,75,209,0.233,0.119,0.343
"CAEL",2015,89,57,208,0.204,0.089,0.333
"CAEL",2016,101,50,386,0.109,0.029,0.226
"CAEL",2017,69,32,212,0.097,0.032,0.225
"CAEL",2018,16,5,76,0.098,0.018,0.298
"CAEL",2019,5,1,52,0.091,0.007,0.69
"CAEL",2020,17,0,410.05,0.58,0.091,0.958
"CAEL",2021,52,17,243,0.058,0.012,0.21
"CAEL",2022,19,9,78,0.163,0.038,0.396
"CAEL",2023,0,0,15,0.258,0.009,0.776
"BANA",2011,362,295,1627,0.472,0.102,0.569
"BANA",2012,310,266,485,0.536,0.345,0.622
"BANA",2013,394,346,732,0.456,0.242,0.513
"BANA",2014,416,337.975,539,0.497,0.394,0.613
"BANA",2015,748,594,1064.025,0.339,0.237,0.429
"BANA",2016,674,519,995,0.353,0.239,0.455
"BANA",2017,432,383,551.025,0.599,0.467,0.673
"BANA",2018,820,618,1213,0.342,0.231,0.458
"BANA",2019,610,395,824,0.31,0.234,0.497
"BANA",2020,501,195,1262.025,0.514,0.025,0.975
"BANA",2021,410,358,483,0.601,0.508,0.695
"BANA",2022,491,385,602,0.473,0.385,0.608
"BANA",2023,370,333,431,0.64,0.552,0.711
